state,scenario,role,tx,count,accuracy,job_id,receiver,seed,k_shot,new_class_count
before,leo_low_elev_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_rain_weak,target_old,14-10,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_rain_weak,target_old,14-7,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_rain_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_rain_weak,target_old,20-19,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_rain_weak,target_old,6-15,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_rain_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,1-16,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,1-18,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,10-10,20,0.85,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,14-11,20,0.7,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,16-19,20,0.85,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,18-10,20,0.65,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,18-8,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,20-12,20,0.25,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,4-10,20,0.75,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_new,8-3,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_old,14-10,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_old,14-7,20,0.55,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_old,20-19,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_old,6-15,20,0.85,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_clear_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,1-16,20,0.55,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,1-18,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,10-10,20,0.65,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,14-11,20,0.45,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,16-19,20,0.5,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,18-10,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,18-8,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,20-12,20,0.4,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,4-10,20,0.75,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_new,8-3,20,0.75,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_old,14-10,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_old,14-7,20,0.55,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_old,20-19,20,0.85,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_old,6-15,20,0.75,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_low_elev_weak,target_old,8-20,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,1-16,20,0.85,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,1-18,20,0.65,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,10-10,20,0.95,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,14-11,20,0.55,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,16-19,20,0.65,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,18-10,20,0.9,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,18-8,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,20-12,20,0.45,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,4-10,20,0.9,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_new,8-3,20,0.9,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_old,14-10,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_old,14-7,20,0.4,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_old,20-19,20,0.8,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_old,6-15,20,0.9,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
after,leo_rain_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_10,7-7,713104,10,10
before,leo_clear_weak,target_old,14-10,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_clear_weak,target_old,14-7,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_clear_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_clear_weak,target_old,20-19,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_clear_weak,target_old,6-15,20,0.9,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_clear_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_low_elev_weak,target_old,14-10,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_low_elev_weak,target_old,14-7,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_low_elev_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_low_elev_weak,target_old,20-19,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_low_elev_weak,target_old,6-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_low_elev_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_rain_weak,target_old,14-10,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_rain_weak,target_old,14-7,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_rain_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_rain_weak,target_old,20-19,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_rain_weak,target_old,6-15,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_rain_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,1-16,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,1-18,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,1-8,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,10-10,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,11-19,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,13-14,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,14-11,20,0.6,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,16-19,20,0.9,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,18-10,20,0.65,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,18-8,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,19-13,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,19-6,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,19-8,20,0.65,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,19-9,20,0.9,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,2-16,20,0.55,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,2-5,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,20-12,20,0.2,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,3-8,20,0.9,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,4-10,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_new,8-3,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_old,14-10,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_old,14-7,20,0.55,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_old,20-19,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_old,6-15,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_clear_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,1-16,20,0.6,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,1-18,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,1-8,20,0.3,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,10-10,20,0.6,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,11-19,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,13-14,20,0.7,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,14-11,20,0.45,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,16-19,20,0.55,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,18-10,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,18-8,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,19-13,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,19-6,20,0.7,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,19-8,20,0.5,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,19-9,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,2-16,20,0.7,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,2-5,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,20-12,20,0.4,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,3-8,20,0.6,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,4-10,20,0.6,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_new,8-3,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_old,14-10,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_old,14-7,20,0.5,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_old,20-19,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_old,6-15,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_low_elev_weak,target_old,8-20,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,1-16,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,1-18,20,0.65,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,1-8,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,10-10,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,11-19,20,0.9,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,13-14,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,14-11,20,0.35,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,16-19,20,0.65,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,18-10,20,0.7,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,18-8,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,19-13,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,19-6,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,19-8,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,19-9,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,2-16,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,2-5,20,0.95,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,20-12,20,0.4,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,3-8,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,4-10,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_new,8-3,20,0.85,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_old,14-10,20,0.75,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_old,14-7,20,0.4,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_old,20-19,20,0.9,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_old,6-15,20,0.8,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
after,leo_rain_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_10__new_20,7-7,713104,10,20
before,leo_clear_weak,target_old,14-10,20,0.95,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_clear_weak,target_old,14-7,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_clear_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_clear_weak,target_old,20-19,20,0.95,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_clear_weak,target_old,6-15,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_clear_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_low_elev_weak,target_old,14-10,20,0.75,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_low_elev_weak,target_old,14-7,20,0.95,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_low_elev_weak,target_old,20-15,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_low_elev_weak,target_old,20-19,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_low_elev_weak,target_old,6-15,20,0.95,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_low_elev_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_rain_weak,target_old,14-10,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_rain_weak,target_old,14-7,20,0.8,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_rain_weak,target_old,20-15,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_rain_weak,target_old,20-19,20,0.95,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_rain_weak,target_old,6-15,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
before,leo_rain_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,1-16,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,1-18,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,1-8,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,10-10,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,11-19,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,13-14,20,0.8,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,14-11,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,16-19,20,0.4,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,18-10,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,18-8,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,19-13,20,0.95,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,19-6,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,19-8,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,19-9,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,2-16,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,2-5,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,20-12,20,0.15,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,3-8,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,4-10,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_new,8-3,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_old,14-10,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_old,14-7,20,0.6,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_old,20-15,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_old,20-19,20,0.6,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_old,6-15,20,0.8,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_clear_weak,target_old,8-20,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,1-16,20,0.5,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,1-18,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,1-8,20,0.5,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,10-10,20,0.35,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,11-19,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,13-14,20,0.75,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,14-11,20,0.3,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,16-19,20,0.3,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,18-10,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,18-8,20,0.5,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,19-13,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,19-6,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,19-8,20,0.3,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,19-9,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,2-16,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,2-5,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,20-12,20,0.2,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,3-8,20,0.75,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,4-10,20,0.25,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_new,8-3,20,0.75,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_old,14-10,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_old,14-7,20,0.4,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_old,20-15,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_old,20-19,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_old,6-15,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_low_elev_weak,target_old,8-20,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,1-16,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,1-18,20,0.4,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,1-8,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,10-10,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,11-19,20,0.9,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,13-14,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,14-11,20,0.3,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,16-19,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,18-10,20,0.7,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,18-8,20,0.55,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,19-13,20,0.8,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,19-6,20,1.0,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,19-8,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,19-9,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,2-16,20,0.85,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,2-5,20,0.75,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,20-12,20,0.2,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,3-8,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,4-10,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_new,8-3,20,0.75,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
after,leo_rain_weak,target_old,14-10,20,0.65,rx_7_7__seed_713104__k_5__new_20,7-7,713104,5,20
